"rowid","gameid","home_team","home_score","home_turnovers","away_team","away_score","away_turnovers","TODifAway","TODifHome","PointDifHome","PointDifAway"
"132","2009111501","MIA",25,2,"TB",23,2,0,0,2,-2
"133","2009111502","MIN",27,2,"DET",10,1,1,-1,17,-17
"134","2009111503","NYJ",22,3,"JAC",24,1,2,-2,-2,2
"135","2009111504","PIT",12,1,"CIN",18,0,1,-1,-6,6
"136","2009111505","STL",23,1,"NO",28,3,-2,2,-5,5
"137","2009111506","TEN",41,1,"BUF",17,2,-1,1,24,-24
"138","2009111507","WAS",27,0,"DEN",17,2,-2,2,10,-10
"139","2009111508","OAK",10,2,"KC",16,3,-1,1,-6,6
"140","2009111509","ARI",31,0,"SEA",20,2,-2,2,11,-11
"141","2009111510","GB",17,0,"DAL",7,3,-3,3,10,-10
"142","2009111511","SD",31,0,"PHI",23,1,-1,1,8,-8
"143","2009111512","IND",35,2,"NE",34,2,0,0,1,-1
"144","2009111600","CLE",0,2,"BAL",16,0,2,-2,-16,16
"145","2009111900","CAR",17,1,"MIA",24,0,1,-1,-7,7
"146","2009112200","BAL",15,2,"IND",17,3,-1,1,-2,2
"147","2009112201","DAL",7,2,"WAS",6,1,1,-1,1,-1
"148","2009112202","DET",38,2,"CLE",37,0,2,-2,1,-1
"149","2009112203","GB",30,0,"SF",24,1,-1,1,6,-6
"150","2009112204","JAC",18,2,"BUF",15,3,-1,1,3,-3
"151","2009112205","KC",27,1,"PIT",24,3,-2,2,3,-3
"152","2009112206","MIN",35,0,"SEA",9,2,-2,2,26,-26
"153","2009112207","NYG",34,1,"ATL",31,1,0,0,3,-3
"154","2009112208","TB",7,4,"NO",38,0,4,-4,-31,31
"155","2009112209","STL",13,1,"ARI",21,2,-1,1,-8,8
"156","2009112210","DEN",3,3,"SD",32,0,3,-3,-29,29
"157","2009112211","NE",31,1,"NYJ",14,5,-4,4,17,-17
"158","2009112212","OAK",20,3,"CIN",17,4,-1,1,3,-3
"159","2009112213","CHI",20,1,"PHI",24,3,-2,2,-4,4
"160","2009112300","HOU",17,0,"TEN",20,1,-1,1,-3,3
"161","2009112600","DET",12,5,"GB",34,2,3,-3,-22,22
"162","2009112601","DAL",24,0,"OAK",7,1,-1,1,17,-17
"163","2009112602","DEN",26,1,"NYG",6,3,-2,2,20,-20
"164","2009112900","ATL",20,1,"TB",17,1,0,0,3,-3
"165","2009112901","BUF",31,1,"MIA",14,4,-3,3,17,-17
"166","2009112902","CIN",16,0,"CLE",7,0,0,0,9,-9
"167","2009112903","HOU",27,3,"IND",35,2,1,-1,-8,8
"168","2009112904","MIN",36,1,"CHI",10,3,-2,2,26,-26
"169","2009112905","NYJ",17,3,"CAR",6,4,-1,1,11,-11
"170","2009112906","PHI",27,1,"WAS",24,2,-1,1,3,-3
"171","2009112907","STL",17,2,"SEA",27,1,1,-1,-10,10
"172","2009112908","TEN",20,1,"ARI",17,0,1,-1,3,-3
"173","2009112909","SD",43,1,"KC",14,4,-3,3,29,-29
"174","2009112910","SF",20,0,"JAC",3,2,-2,2,17,-17
"175","2009112911","BAL",20,2,"PIT",17,1,1,-1,3,-3
"176","2009113000","NO",38,1,"NE",17,3,-2,2,21,-21
"177","2009120300","BUF",13,2,"NYJ",19,0,2,-2,-6,6
"178","2009120600","ATL",7,3,"PHI",34,0,3,-3,-27,27
"179","2009120601","CAR",16,2,"TB",6,5,-3,3,10,-10
"180","2009120602","CHI",17,1,"STL",9,2,-1,1,8,-8
"181","2009120603","CIN",23,3,"DET",13,2,1,-1,10,-10
"182","2009120604","IND",27,0,"TEN",17,2,-2,2,10,-10
"183","2009120605","JAC",23,1,"HOU",18,3,-2,2,5,-5
"184","2009120606","KC",13,3,"DEN",44,3,0,0,-31,31
"185","2009120607","PIT",24,1,"OAK",27,0,1,-1,-3,3
"186","2009120608","WAS",30,4,"NO",33,1,3,-3,-3,3
"187","2009120609","CLE",23,1,"SD",30,0,1,-1,-7,7
"188","2009120610","ARI",30,1,"MIN",17,2,-1,1,13,-13
"189","2009120611","NYG",31,2,"DAL",24,1,1,-1,7,-7
"190","2009120612","SEA",20,1,"SF",17,2,-1,1,3,-3
"191","2009120613","MIA",22,1,"NE",21,2,-1,1,1,-1
"192","2009120700","GB",27,3,"BAL",14,4,-1,1,13,-13
"193","2009121000","CLE",13,0,"PIT",6,0,0,0,7,-7
"194","2009121300","ATL",23,1,"NO",26,0,1,-1,-3,3
"195","2009121301","BAL",48,1,"DET",3,2,-1,1,45,-45
"196","2009121302","CHI",14,2,"GB",21,2,0,0,-7,7
"197","2009121303","HOU",34,2,"SEA",7,1,1,-1,27,-27
